,case:Responsible_actor,Activity,monitoringResource,question,org:resource,timesincelastevent,timesincecasestart,timesincemidnight,event_nr,month,weekday,hour,open_cases,resource_multitasking,n_tasks,n_cases,n_acts,n_handoffs,ent_act,ent_case,ent_handoff,ratio_act_case,busyness,n_current_case,n_current_act,n_current_handoff,ratio_current_case,ratio_current_act,ratio_current_handoff,case:SUMleges,time:timestamp,Case ID,label
477,4901428.0,regular procedure without MER,560925,True,6,27.5,80270.23333333334,950,13,11,1,15,33,1,12,1,11,3,2.3693821196946763,0.0,0.5660857389596289,12.0,0.2181818181818181,12,1,10,1.0,0.0833333333333333,0.8333333333333334,1354.2542,2010-11-30 15:50:14+00:00,2771451,100860.0
478,4901428.0,send procedure confirmation,560925,EMPTY,6,0.2666666666666666,80270.5,950,14,11,1,15,33,1,13,1,12,3,2.458311329683084,0.0,0.5359610497090694,13.0,0.2363636363636363,13,1,11,1.0,0.0769230769230769,0.8461538461538461,1354.2542,2010-11-30 15:50:30+00:00,2771451,100860.0
479,4901428.0,extend procedure term,560925,False,6,0.3333333333333333,80270.83333333333,950,15,11,1,15,33,1,14,1,13,3,2.540036303820981,0.0,0.509137344082687,14.0,0.2545454545454545,14,1,12,1.0,0.0714285714285714,0.8571428571428571,1354.2542,2010-11-30 15:50:50+00:00,2771451,100860.0
480,4901428.0,registrer date of publishing received request,560925,EMPTY,6,0.1,80270.93333333333,950,16,11,1,15,33,1,15,1,13,3,2.5232109529528914,0.0,0.4850940913022115,15.0,0.2727272727272727,15,2,13,1.0,0.1333333333333333,0.8666666666666667,1354.2542,2010-11-30 15:50:56+00:00,2771451,100860.0
481,4901428.0,WAW permit aspect,560925,False,6,0.4333333333333333,80271.36666666667,951,17,11,1,15,33,1,16,1,14,3,2.599301927099795,0.0,0.46341355882643,16.0,0.2909090909090909,16,1,14,1.0,0.0625,0.875,1354.2542,2010-11-30 15:51:22+00:00,2771451,100860.0
482,4901428.0,applicant is stakeholder,560925,True,6,0.2333333333333333,80271.6,951,18,11,1,15,33,1,17,1,15,3,2.670119889806817,0.0,0.4437572842601484,17.0,0.3090909090909091,17,1,15,1.0,0.0588235294117647,0.8823529411764706,1354.2542,2010-11-30 15:51:36+00:00,2771451,100860.0
483,4901428.0,terminate on request,560925,False,6,0.2166666666666666,80271.81666666667,951,19,11,1,15,33,1,18,1,16,3,2.736339051105066,0.0,0.4258484492385814,18.0,0.3272727272727272,18,1,16,1.0,0.0555555555555555,0.8888888888888888,1354.2542,2010-11-30 15:51:49+00:00,2771451,100860.0
484,4901428.0,treat subcases completeness,560925,EMPTY,6,0.5666666666666667,80272.38333333333,952,20,11,1,15,33,1,19,1,17,3,2.798513256943294,0.0,0.4094586186950892,19.0,0.3454545454545454,19,1,17,1.0,0.0526315789473684,0.8947368421052632,1354.2542,2010-11-30 15:52:23+00:00,2771451,100860.0
485,4901428.0,subcases completeness completed,560925,EMPTY,6,0.0833333333333333,80272.46666666666,952,21,11,1,15,33,1,20,1,18,3,2.857102837442002,0.0,0.3943976914474427,20.0,0.3636363636363636,20,1,18,1.0,0.05,0.9,1354.2542,2010-11-30 15:52:28+00:00,2771451,100860.0
486,4901428.0,activities regular procedure,560925,True,6,0.5666666666666667,80273.03333333334,953,22,11,1,15,33,1,21,1,19,3,2.912494403331052,0.0,0.3805062184775959,21.0,0.3818181818181818,21,1,19,1.0,0.0476190476190476,0.9047619047619048,1354.2542,2010-11-30 15:53:02+00:00,2771451,100860.0
487,4901428.0,regular procedure applies,560925,EMPTY,6,0.0333333333333333,80273.06666666667,953,23,11,1,15,33,1,22,1,20,3,2.9650156932565075,0.0,0.3676494774001422,22.0,0.4,22,1,20,1.0,0.0454545454545454,0.9090909090909092,1354.2542,2010-11-30 15:53:04+00:00,2771451,100860.0
488,4901428.0,request complete,560925,False,6,0.3333333333333333,80273.4,953,24,11,1,15,33,1,23,1,21,3,3.014946880179594,0.0,0.3557128597468939,23.0,0.4181818181818181,23,1,21,1.0,0.0434782608695652,0.9130434782608696,1354.2542,2010-11-30 15:53:24+00:00,2771451,100860.0
489,4901428.0,term for supplying missing data,560925,42,6,0.6,80274.0,954,25,11,1,15,33,1,24,1,22,3,3.0625293002546226,0.0,0.3445982481028227,24.0,0.4363636363636363,24,1,22,1.0,0.0416666666666666,0.9166666666666666,1354.2542,2010-11-30 15:54:00+00:00,2771451,100860.0
490,4901428.0,retrieve missing data,560925,EMPTY,6,0.1666666666666666,80274.16666666667,954,26,11,1,15,33,1,25,1,23,3,3.107972275978608,0.0,0.3342211462133829,25.0,0.4545454545454545,25,1,23,1.0,0.04,0.92,1354.2542,2010-11-30 15:54:10+00:00,2771451,100860.0
491,4901428.0,receive additional information,560925,True,6,1.4333333333333331,80275.6,955,27,11,1,15,33,1,26,1,24,3,3.151458510243029,0.0,0.3245083869310706,26.0,0.4727272727272727,26,1,24,1.0,0.0384615384615384,0.9230769230769232,1354.2542,2010-11-30 15:55:36+00:00,2771451,100860.0
537,4901428.0,MER present in supplement,560925,False,2670601,1077.3833333333334,81352.98333333334,592,28,12,2,9,33,1,48,3,34,4,3.37639988154931,0.3445982481028227,0.3734793806261538,16.0,0.8727272727272727,2,2,2,0.0416666666666666,0.0416666666666666,0.0416666666666666,1354.2542,2010-12-01 09:52:59+00:00,2771451,100860.0
538,4901428.0,WAW permit aspect,560925,False,2670601,0.0666666666666666,81353.05,593,29,12,2,9,33,1,49,3,34,4,3.3612122412190524,0.3982187650590406,0.3676140450333963,16.333333333333332,0.8909090909090909,3,4,45,0.0612244897959183,0.0816326530612244,0.9183673469387756,1354.2542,2010-12-01 09:53:03+00:00,2771451,100860.0
539,4901428.0,treat subcases completeness,560925,EMPTY,2670601,0.1333333333333333,81353.18333333333,593,30,12,2,9,33,1,50,3,34,4,3.3538362595767146,0.4433066914680871,0.3619470334357807,16.666666666666668,0.9090909090909092,4,3,46,0.08,0.06,0.92,1354.2542,2010-12-01 09:53:11+00:00,2771451,100860.0
540,4901428.0,subcases completeness completed,560925,EMPTY,2670601,0.05,81353.23333333334,593,31,12,2,9,33,1,51,3,34,4,3.347141715127149,0.4820643030048378,0.3564681495578033,17.0,0.9272727272727272,5,3,47,0.0980392156862745,0.0588235294117647,0.9215686274509804,1354.2542,2010-12-01 09:53:14+00:00,2771451,100860.0
541,4901428.0,activities regular procedure,560925,True,2670601,0.0833333333333333,81353.31666666667,593,32,12,2,9,33,1,52,3,34,4,3.341081751228727,0.5158361211027406,0.3511678938756839,17.333333333333332,0.9454545454545454,6,3,48,0.1153846153846153,0.0576923076923076,0.9230769230769232,1354.2542,2010-12-01 09:53:19+00:00,2771451,100860.0
542,4901428.0,regular procedure applies,560925,EMPTY,2670601,0.0333333333333333,81353.35,593,33,12,2,9,33,1,53,3,34,4,3.335613332283727,0.5455370211575826,0.3460374047117332,17.666666666666668,0.9636363636363636,7,3,49,0.1320754716981132,0.0566037735849056,0.9245283018867924,1354.2542,2010-12-01 09:53:21+00:00,2771451,100860.0
543,4901428.0,phase application receptive,560464,EMPTY,2670601,0.65,81354.0,594,34,12,2,9,33,1,54,3,34,4,3.3403866545578897,0.5718327393983101,0.3410684052211781,18.0,0.9818181818181818,8,2,50,0.1481481481481481,0.037037037037037,0.925925925925926,1354.2542,2010-12-01 09:54:00+00:00,2771451,100860.0
544,4901428.0,request complete,560925,True,2670601,0.0,81354.0,594,35,12,2,9,33,1,55,3,34,4,3.335809518446485,0.5952302861497554,0.3362531555950072,18.33333333333333,1.0,9,3,51,0.1636363636363636,0.0545454545454545,0.9272727272727272,1354.2542,2010-12-01 09:54:00+00:00,2771451,100860.0
545,4901428.0,WAW permit aspect,560925,False,2670601,0.0833333333333333,81354.08333333333,594,36,12,2,9,33,1,56,3,34,4,3.321140730183004,0.6161286696018664,0.33158440988954,18.666666666666668,1.018181818181818,10,5,52,0.1785714285714285,0.0892857142857142,0.9285714285714286,1354.2542,2010-12-01 09:54:05+00:00,2771451,100860.0
546,4901428.0,treat subcases content,560925,EMPTY,2670601,0.05,81354.13333333333,594,37,12,2,9,33,1,57,3,34,4,3.3268739318338483,0.6348497546011211,0.3270553769681931,19.0,1.0363636363636364,11,2,53,0.1929824561403508,0.0350877192982456,0.9298245614035088,1354.2542,2010-12-01 09:54:08+00:00,2771451,100860.0
547,4901428.0,completed subcases content,560925,EMPTY,2670601,0.0666666666666666,81354.2,594,38,12,2,9,33,1,58,3,34,4,3.332711932733317,0.6516582165640161,0.3226596851052002,19.33333333333333,1.0545454545454545,12,2,54,0.2068965517241379,0.0344827586206896,0.9310344827586208,1354.2542,2010-12-01 09:54:12+00:00,2771451,100860.0
548,4901428.0,article 34  WABO applies,560925,False,2670601,0.0833333333333333,81354.28333333334,594,39,12,2,9,33,1,59,3,34,4,3.338644276545044,0.6667750727104083,0.3183913498564686,19.666666666666668,1.0727272727272728,13,2,55,0.2203389830508474,0.0338983050847457,0.9322033898305084,1354.2542,2010-12-01 09:54:17+00:00,2771451,100860.0
549,4901428.0,assessment of content completed,560925,EMPTY,2670601,0.0333333333333333,81354.31666666667,594,40,12,2,9,33,1,60,3,34,4,3.3446613749654386,0.6803872144198174,0.3142447448506298,20.0,1.0909090909090908,14,2,56,0.2333333333333333,0.0333333333333333,0.9333333333333332,1354.2542,2010-12-01 09:54:19+00:00,2771451,100860.0
550,4901428.0,phase advice known,560464,EMPTY,2670601,0.0,81354.31666666667,594,41,12,2,9,33,1,61,3,34,4,3.3507544281647927,0.6926543351559911,0.3102145751947989,20.33333333333333,1.1090909090909091,15,2,57,0.2459016393442623,0.0327868852459016,0.9344262295081968,1354.2542,2010-12-01 09:54:19+00:00,2771451,100860.0
551,4901428.0,grounds for refusal,560925,False,2670601,0.05,81354.36666666667,594,42,12,2,9,33,1,62,3,34,4,3.356915353470261,0.7037140977973515,0.3062958532255397,20.666666666666668,1.1272727272727272,16,2,58,0.2580645161290322,0.032258064516129,0.935483870967742,1354.2542,2010-12-01 09:54:22+00:00,2771451,100860.0
552,4901428.0,ask stakeholders views,560925,False,2670601,0.2833333333333333,81354.65,594,43,12,2,9,33,1,63,3,34,4,3.363136721331861,0.7136860739712302,0.302483876366813,21.0,1.1454545454545455,17,2,59,0.2698412698412698,0.0317460317460317,0.9365079365079364,1354.2542,2010-12-01 09:54:39+00:00,2771451,100860.0
553,4901428.0,suspension ground applicable,560925,False,2670601,0.1,81354.75,594,44,12,2,9,33,1,64,3,34,4,3.3694116977365587,0.7226748037400726,0.2987742068839542,21.33333333333333,1.1636363636363636,18,2,60,0.28125,0.03125,0.9375,1354.2542,2010-12-01 09:54:45+00:00,2771451,100860.0
554,4901428.0,creating environmental permit decision,560464,EMPTY,2670601,0.0333333333333333,81354.78333333334,594,45,12,2,9,33,1,65,3,34,4,3.375733992341804,0.7307722105466254,0.2951626533465313,21.666666666666668,1.181818181818182,19,2,61,0.2923076923076923,0.0307692307692307,0.9384615384615383,1354.2542,2010-12-01 09:54:47+00:00,2771451,100860.0
555,4901428.0,by law,560925,False,2670601,0.0,81354.78333333334,594,46,12,2,9,33,1,66,3,34,4,3.382097811691289,0.7380595340778923,0.2916452536337653,22.0,1.2,20,2,62,0.303030303030303,0.0303030303030303,0.9393939393939394,1354.2542,2010-12-01 09:54:47+00:00,2771451,100860.0
605,4901428.0,enter senddate decision environmental permit,560925,EMPTY,560890,6545.216666666666,87900.0,1380,47,12,6,23,33,6,37,3,34,4,3.498515667148017,0.6396406526889704,0.3704785116455895,12.333333333333334,1.85,1,2,1,0.027027027027027,0.054054054054054,0.027027027027027,1354.2542,2010-12-05 23:00:00+00:00,2771451,100860.0
606,4901428.0,register date environmental permit decision,560925,EMPTY,560890,0.0,87900.0,1380,48,12,6,23,33,6,38,3,34,4,3.4916604375032394,0.708018976056273,0.3629234715124521,12.666666666666666,1.9,2,2,35,0.0526315789473684,0.0526315789473684,0.9210526315789472,1354.2542,2010-12-05 23:00:00+00:00,2771451,100860.0
615,4901428.0,generating decision environmental permit,560925,EMPTY,560890,546.35,88446.35,486,49,12,0,8,33,3,44,7,34,5,3.400366818630662,1.1792035010667017,0.6532158645728979,6.285714285714286,2.095238095238096,3,2,37,0.0681818181818181,0.0454545454545454,0.8409090909090909,1354.2542,2010-12-06 08:06:21+00:00,2771451,100860.0
616,4901428.0,register objection and appeal periods,560925,42,560890,2.7,88449.05,489,50,12,0,8,33,3,45,7,34,5,3.4005625290197803,1.209579591460456,0.6425034419267124,6.428571428571429,2.142857142857143,4,2,38,0.0888888888888888,0.0444444444444444,0.8444444444444444,1354.2542,2010-12-06 08:09:03+00:00,2771451,100860.0
619,4901428.0,transcript decision environmental permit to stakeholders,560925,EMPTY,560890,51.38333333333333,88500.43333333333,540,51,12,0,9,33,3,46,7,34,5,3.4012328618174825,1.233625254279643,0.6321677599148365,6.571428571428571,2.1904761904761907,5,2,39,0.108695652173913,0.0434782608695652,0.8478260869565217,1354.2542,2010-12-06 09:00:26+00:00,2771451,100860.0
620,4901428.0,generate publication document decision environmental permit,560925,EMPTY,560890,3.55,88503.98333333334,543,52,12,0,9,33,3,47,7,34,5,3.402337240943801,1.25282611671362,0.622188851754375,6.714285714285714,2.238095238095238,6,2,40,0.1276595744680851,0.0425531914893617,0.851063829787234,1354.2542,2010-12-06 09:03:59+00:00,2771451,100860.0
900,4901428.0,enter date publication decision environmental permit,560925,EMPTY,560890,12356.016666666666,100860.0,1380,53,12,1,23,32,7,127,12,42,6,3.367344422025485,2.256040396834803,0.5054957012766469,10.583333333333334,4.379310344827586,7,2,113,0.0551181102362204,0.0157480314960629,0.889763779527559,1354.2542,2010-12-14 23:00:00+00:00,2771451,100860.0
2,4901428.0,register submission date request,560925,EMPTY,560925,0.0,0.0,1320,1,10,1,22,3,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,1.0,116.79765,2010-10-05 22:00:00+00:00,2782209,70620.0
11,4901428.0,phase application received,4901428,EMPTY,560925,9234.933333333332,9234.933333333332,474,2,10,1,7,5,1,2,1,2,2,0.6931471805599453,0.0,0.6931471805599453,2.0,0.3333333333333333,2,1,1,1.0,0.5,0.5,116.79765,2010-10-12 07:54:56+00:00,2782209,70620.0
12,4901428.0,reception through OLO,560925,True,560925,1.2333333333333334,9236.166666666666,476,3,10,1,7,5,1,3,1,3,2,1.0986122886681096,0.0,0.6365141682948128,3.0,0.5,3,1,2,1.0,0.3333333333333333,0.6666666666666666,116.79765,2010-10-12 07:56:10+00:00,2782209,70620.0
13,4901428.0,forward to the competent authority,560925,False,560925,0.0833333333333333,9236.25,476,4,10,1,7,5,1,4,1,4,2,1.3862943611198906,0.0,0.5623351446188083,4.0,0.6666666666666666,4,1,3,1.0,0.25,0.75,116.79765,2010-10-12 07:56:15+00:00,2782209,70620.0
14,4901428.0,regular procedure without MER,560925,True,560925,0.2166666666666666,9236.466666666667,476,5,10,1,7,5,1,5,1,5,2,1.6094379124341005,0.0,0.5004024235381879,5.0,0.8333333333333334,5,1,4,1.0,0.2,0.8,116.79765,2010-10-12 07:56:28+00:00,2782209,70620.0
37,4901428.0,enter senddate procedure confirmation,560925,EMPTY,560912,8043.533333333334,17280.0,1320,6,10,6,22,6,2,2,2,2,2,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,0.4,1,1,1,0.5,0.5,0.5,116.79765,2010-10-17 22:00:00+00:00,2782209,70620.0
38,4901428.0,send procedure confirmation,560925,EMPTY,560912,956.6166666666668,18236.616666666665,836,7,10,0,13,6,2,3,2,3,3,1.0986122886681096,0.6365141682948128,1.0986122886681096,1.5,0.6,2,1,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,116.79765,2010-10-18 13:56:37+00:00,2782209,70620.0
39,4901428.0,applicant is stakeholder,560925,True,560912,0.2833333333333333,18236.9,836,8,10,0,13,6,2,4,2,4,3,1.3862943611198906,0.5623351446188083,1.039720770839918,2.0,0.8,3,1,2,0.75,0.25,0.5,116.79765,2010-10-18 13:56:54+00:00,2782209,70620.0
40,4901428.0,registrer date of publishing received request,560925,EMPTY,560912,0.4833333333333333,18237.38333333333,837,9,10,0,13,6,2,5,2,5,3,1.6094379124341005,0.5004024235381879,0.9502705392332348,2.5,1.0,4,1,3,0.8,0.2,0.6,116.79765,2010-10-18 13:57:23+00:00,2782209,70620.0
89,4901428.0,registrer date of publishing received request,560925,EMPTY,560912,12002.616666666669,30240.0,1320,10,10,1,22,12,4,10,5,6,3,1.6094379124341,1.3592367006650063,0.9433483923290392,2.0,0.7142857142857143,5,2,5,0.5,0.2,0.5,116.79765,2010-10-26 22:00:00+00:00,2782209,70620.0
234,4901428.0,treat subcases completeness,560925,EMPTY,560890,27963.466666666667,58203.46666666667,483,11,11,0,8,22,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,1.0,116.79765,2010-11-15 08:03:28+00:00,2782209,70620.0
235,4901428.0,WAW permit aspect,560925,False,560890,0.9833333333333332,58204.45,484,12,11,0,8,22,1,2,1,2,2,0.6931471805599453,0.0,0.6931471805599453,2.0,0.0,2,1,1,1.0,0.5,0.5,116.79765,2010-11-15 08:04:27+00:00,2782209,70620.0
236,4901428.0,terminate on request,560925,False,560890,0.2666666666666666,58204.71666666667,484,13,11,0,8,22,1,3,1,3,2,1.0986122886681096,0.0,0.6365141682948128,3.0,0.0,3,1,2,1.0,0.3333333333333333,0.6666666666666666,116.79765,2010-11-15 08:04:43+00:00,2782209,70620.0
237,4901428.0,extend procedure term,560925,False,560890,0.35,58205.066666666666,485,14,11,0,8,22,1,4,1,4,2,1.3862943611198906,0.0,0.5623351446188083,4.0,0.0,4,1,3,1.0,0.25,0.75,116.79765,2010-11-15 08:05:04+00:00,2782209,70620.0
238,4901428.0,subcases completeness completed,560925,EMPTY,560890,15.316666666666666,58220.38333333333,500,15,11,0,8,22,1,5,1,5,2,1.6094379124341005,0.0,0.5004024235381879,5.0,0.0,5,1,4,1.0,0.2,0.8,116.79765,2010-11-15 08:20:23+00:00,2782209,70620.0
239,4901428.0,activities regular procedure,560925,True,560890,147.08333333333334,58367.46666666667,647,16,11,0,10,22,1,6,1,6,2,1.791759469228055,0.0,0.4505612088663046,6.0,0.0,6,1,5,1.0,0.1666666666666666,0.8333333333333334,116.79765,2010-11-15 10:47:28+00:00,2782209,70620.0
240,4901428.0,regular procedure applies,560925,EMPTY,560890,5.683333333333334,58373.15,653,17,11,0,10,22,1,7,1,7,2,1.945910149055314,0.0,0.410116318288409,7.0,0.0,7,1,6,1.0,0.1428571428571428,0.8571428571428571,116.79765,2010-11-15 10:53:09+00:00,2782209,70620.0
241,4901428.0,request complete,560925,True,560890,1.15,58374.3,654,18,11,0,10,22,1,8,1,8,2,2.079441541679836,0.0,0.3767701612564367,8.0,0.0,8,1,7,1.0,0.125,0.875,116.79765,2010-11-15 10:54:18+00:00,2782209,70620.0
242,4901428.0,phase application receptive,4901428,EMPTY,560890,0.0166666666666666,58374.316666666666,654,19,11,0,10,22,1,9,1,9,2,2.19722457733622,0.0,0.3488320958430319,9.0,0.0,9,1,8,1.0,0.1111111111111111,0.8888888888888888,116.79765,2010-11-15 10:54:19+00:00,2782209,70620.0
243,4901428.0,WAW permit aspect,560925,False,560890,0.1166666666666666,58374.43333333333,654,20,11,0,10,22,1,10,1,9,2,2.163955656882057,0.0,0.3250829733914482,10.0,0.0,10,2,9,1.0,0.2,0.9,116.79765,2010-11-15 10:54:26+00:00,2782209,70620.0
244,4901428.0,treat subcases content,560925,EMPTY,560890,0.1333333333333333,58374.566666666666,654,21,11,0,10,22,1,11,1,10,2,2.2718685126965625,0.0,0.3046360973492381,11.0,0.0,11,1,10,1.0,0.0909090909090909,0.9090909090909092,116.79765,2010-11-15 10:54:34+00:00,2782209,70620.0
245,4901428.0,completed subcases content,560925,EMPTY,560890,0.0833333333333333,58374.65,654,22,11,0,10,22,1,12,1,11,2,2.3693821196946763,0.0,0.2868359830561607,12.0,0.0,12,1,11,1.0,0.0833333333333333,0.9166666666666666,116.79765,2010-11-15 10:54:39+00:00,2782209,70620.0
246,4901428.0,article 34  WABO applies,560925,False,560890,0.65,58375.3,655,23,11,0,10,22,1,13,1,12,2,2.458311329683084,0.0,0.2711893730418441,13.0,0.0,13,1,12,1.0,0.0769230769230769,0.9230769230769232,116.79765,2010-11-15 10:55:18+00:00,2782209,70620.0
247,4901428.0,assessment of content completed,560925,EMPTY,560890,0.9833333333333332,58376.28333333333,656,24,11,0,10,22,1,14,1,13,2,2.540036303820981,0.0,0.2573186405438316,14.0,0.0,14,1,13,1.0,0.0714285714285714,0.9285714285714286,116.79765,2010-11-15 10:56:17+00:00,2782209,70620.0
248,4901428.0,phase advice known,4901428,EMPTY,560890,0.0166666666666666,58376.3,656,25,11,0,10,22,1,15,1,14,2,2.615630577027551,0.0,0.2449300267946353,15.0,0.0,15,1,14,1.0,0.0666666666666666,0.9333333333333332,116.79765,2010-11-15 10:56:18+00:00,2782209,70620.0
249,4901428.0,grounds for refusal,560925,False,560890,0.0833333333333333,58376.38333333333,656,26,11,0,10,22,1,16,1,15,2,2.685945324669788,0.0,0.2337916587064593,16.0,0.0,16,1,15,1.0,0.0625,0.9375,116.79765,2010-11-15 10:56:23+00:00,2782209,70620.0
250,4901428.0,ask stakeholders views,560925,False,560890,10.583333333333334,58386.96666666667,666,27,11,0,11,22,1,17,1,16,2,2.7516666169315167,0.0,0.2237180760658337,17.0,0.0,17,1,16,1.0,0.0588235294117647,0.9411764705882352,116.79765,2010-11-15 11:06:58+00:00,2782209,70620.0
251,4901428.0,suspension ground applicable,560925,False,560890,0.0833333333333333,58387.05,667,28,11,0,11,22,1,18,1,17,2,2.813355404500616,0.0,0.2145591551764051,18.0,0.0,18,1,17,1.0,0.0555555555555555,0.9444444444444444,116.79765,2010-11-15 11:07:03+00:00,2782209,70620.0
252,4901428.0,by law,560925,False,560890,0.0666666666666666,58387.11666666667,667,29,11,0,11,22,1,19,1,18,2,2.871476118054867,0.0,0.2061920506332318,19.0,0.0,19,1,18,1.0,0.0526315789473684,0.9473684210526316,116.79765,2010-11-15 11:07:07+00:00,2782209,70620.0
253,4901428.0,creating environmental permit decision,4901428,EMPTY,560890,0.0333333333333333,58387.15,667,30,11,0,11,22,1,20,1,19,2,2.926417555497996,0.0,0.1985152433458726,20.0,0.0,20,1,19,1.0,0.05,0.95,116.79765,2010-11-15 11:07:09+00:00,2782209,70620.0
254,4901428.0,generating decision environmental permit,560925,EMPTY,560890,13.5,58400.65,680,31,11,0,11,22,1,21,1,20,2,2.9785084205272367,0.0,0.1914440819577173,21.0,0.0,21,1,20,1.0,0.0476190476190476,0.9523809523809524,116.79765,2010-11-15 11:20:39+00:00,2782209,70620.0
256,4901428.0,register date environmental permit decision,560925,EMPTY,560890,699.35,59100.0,1380,32,11,0,23,24,1,22,1,21,2,3.028029073307412,0.0,0.1849073991677756,22.0,0.0,22,1,21,1.0,0.0454545454545454,0.9545454545454546,116.79765,2010-11-15 23:00:00+00:00,2782209,70620.0
